1334901000,17037,2992,7162,6883,18382,8064,479,9839
1334901300,8476,4400,3981,95,7613,3511,2100,2002
1334901600,16949,6761,7266,2922,18881,7454,9976,1451
1334901900,20099,9730,5001,5368,21410,6836,6946,7628
1334902200,20301,6856,3769,9676,11148,1869,7238,2041
1334902500,12692,7860,3957,875,6618,4404,387,1827
1334902800,25883,8930,8447,8506,6485,2486,3180,819
1334903100,19153,7103,7431,4619,13965,8930,2299,2736
1334903400,6500,1779,615,4106,11986,8265,2623,1098
1334903700,12245,120,9336,2789,19632,1898,9585,8149
1334904000,16261,1210,6778,8273,18314,2481,8603,7230
1334904300,14136,1742,3350,9044,19894,9262,5030,5602
1334904600,20565,8171,7507,4887,22341,9155,4681,8505
1334904900,20191,8443,4842,6906,22715,7123,9741,5851
1334905200,18149,4857,5726,7566,14921,2458,9076,3387
1334905500,20201,4299,6649,9253,18728,4324,8601,5803
1334905800,12076,1258,1464,9354,13617,1193,7923,4501
1334906100,15377,8919,871,5587,12882,6547,5741,594
1334906400,22456,7484,7374,7598,16215,9638,2778,3799
1334906700,18681,5581,9765,3335,16020,3781,8469,3770
1334907000,13058,4567,3752,4739,5407,1255,304,3848
1334907300,19252,8546,4845,5861,19192,8922,1351,8919
1334907600,19618,4406,5900,9312,13728,9832,488,3408
1334907900,10006,897,1320,7789,7879,5304,2009,566
1334908200,11789,4159,395,7235,27887,8822,9070,9995
1334908500,15337,6735,3436,5166,14744,4877,9305,562
1334908800,13299,2457,3198,7644,13000,1627,6743,4630
1334909100,14086,2759,8092,3235,16297,7512,7949,836
1334909400,11449,3584,1305,6560,9278,4533,292,4453
1334909700,13275,5765,338,7172,13374,9220,514,3640
1334910000,12504,2126,2053,8325,20500,9204,9355,1941
1334910300,17887,6956,2435,8496,12083,2623,8359,1101
1334910600,18907,5906,9990,3011,16093,9138,5122,1833
1334910900,15587,3439,2288,9860,25797,8365,7870,9562
1334911200,6770,2273,1400,3097,19170,9418,4796,4956
1334911500,11802,2931,1207,7664,17872,4451,7463,5958
1334911800,19309,9445,6854,3010,21756,9735,6852,5169
1334912100,19623,9430,7037,3156,10482,2489,7718,275
1334912400,21732,9859,9077,2796,12616,3354,7335,1927
1334912700,16288,7359,2039,6890,22400,5307,9188,7905
1334913000,23305,5659,8693,8953,6649,3896,270,2483
1334913300,14214,7997,2381,3836,14950,3499,9662,1789
1334913600,19490,3593,7371,8526,7604,250,4409,2945
1334913900,13695,926,7496,5273,11985,1897,9135,953
1334914200,10159,2696,2758,4705,11043,3302,7427,314
1334914500,10755,9955,631,169,16334,5228,8102,3004
1334914800,20475,7923,6758,5794,17027,1089,8517,7421
